VIB, Viberate, 0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724, 18
RCN, Ripio, 0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6, 18
EDO, Eidoo, 0xced4e93198734ddaff8492d525bd258d49eb388e, 18
BLUE, Ethereum Blue, 0x539efe69bcdd21a83efd9122571a64cc25e0282b, 8
ACC, Accelerator, 0x13f1b7fdfbe1fc66676d56483e21b1ecb40b58e2, 18
ARN, Aeron, 0xba5f11b16b155792cf3b2e6880e8706859a8aeb6, 8
LIFE, LIFE Token, 0xff18dbc487b4c2e3222d115952babfda8ba52f5f, 18
EPY, Emphy, 0x50ee674689d75c0f88e8f83cfe8c4b69e8fd590d, 8
SWM, Swarm Fund Token, 0x9e88613418cf03dca54d6a2cf6ad934a78c7a17a, 18
EXMR, EXMR, 0xc98e0639c6d2ec037a615341c369666b110e80e5, 8
RDN, Raiden, 0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6, 18
GRID, Grid+, 0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd, 12
UKG, Unikoin Gold, 0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b, 18
GVT, Genesis Vision, 0x103c3a209da59d3e7c4a89307e66521e081cfdf0, 18
ASTRO, AstroTokens, 0x7b22938ca841aa392c93dbb7f4c42178e3d65e88, 4
DNA, Gene-Chain Coin, 0x82b0e50478eeafde392d45d1259ed1071b6fda81, 18
COV, Covesting, 0xe2fb6529ef566a080e6d23de0bd351311087d567, 18
LEND, ETHLend, 0x80fb784b7ed66730e8b1dbd9820afd29931aab03, 18
PKT, PlayKey Token, 0x2604fa406be957e542beb89e6754fcde6815e83f, 18
ITT, ITT, 0x0aef06dcccc531e581f0440059e6ffcc206039ee, 8
DRGN, Dragonchain, 0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e, 18
NIO, Autonio, 0x5554e04e76533e1d14c52f05beef6c9d329e1e30, 0
GET, GUTS, 0x8a854288a5976036a725879164ca3e91d30c6a1b, 18
BNTY, Bounty0x, 0xd2d6158683aee4cc838067727209a0aaf4359de3, 18
CAJ, Cajutel, 0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e, 18
SPANK, SpankChain, 0x42d6622dece394b54999fbd73d108123806f6a18, 18
BKX, BANKEX, 0x45245bc59219eeaaf6cd3f382e078a461ff9de7b, 18
BLT, Bloom, 0x107c4504cd79c5d2696ea0030a8dd4e92601b82e, 18
EXRN, EXRNchain, 0xe469c4473af82217b30cf17b10bcdb6c8c796e75, 0
WAX, Worldwide Asset eXchange, 0x39bb259f66e1c59d5abef88375979b4d20d98022, 8
AIX, Aigang, 0x1063ce524265d5a3a624f4914acd573dd89ce988, 18
DAI, Maker DAI, 0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359, 18
GIM, Gimli, 0xae4f56f072c34c0a65b3ae3e4db797d831439d93, 8
CAT2, BitClave, 0x1234567461d3f8db7496581774bd869c83d51c93, 18
CAT, BlockCAT, 0x56ba2ee7890461f463f7be02aac3099f6d5811a8, 18
MKR, Maker, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, 18
DMT, DMarket, 0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1, 8
TAU, Lamden, 0xc27a2f05fa577a83ba0fdb4c38443c0718356501, 18
CRED, Verify, 0x672a1ad4f667fb18a333af13667aa0af1f5b5bdd, 18
VEE, blockv, 0x340d2bde5eb28c1eed91b2f790723e3b160613b7, 18
UFR, upfiring, 0xea097a2b1db00627b2fa17460ad260c016016977, 18
SXUT, Spectre U-Token, 0x2c82c73d5b34aa015989462b2948cd616a37641f, 18
WABI, WaBi, 0x286bda1413a2df81731d4930ce2f862a35a609fe, 18
APPC, AppCoins, 0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db, 18
BDG, Bitdegree, 0x1961b3331969ed52770751fc718ef530838b6dee, 18
WAND, WANDX, 0x27f610bf36eca0939093343ac28b1534a721dbb4, 18
LEV, LeverJ, 0x0f4ca92660efad97a9a70cb0fe969c755439772c, 9
REF, RefToken, 0x89303500a7abfb178b274fd89f2469c264951e1f, 8
TEL, Telcoin, 0x85e076361cc813a908ff672f9bad1541474402b2, 2
INS, INS Ecosystem, 0x5b2e4a700dfbc560061e957edec8f6eeeb74a320, 10
NEU, Neumark, 0xa823e6722006afe99e91c30ff5295052fe6b8e32, 18
HQX, Hoqu, 0x1b957dc4aefeed3b4a2351a6a6d5cbfbba0cecfa, 18
POWR, Power Ledger, 0x595832f8fc6bf59c85c527fec3740a1b7a361269, 6
KEY, SelfKey, 0x4cc19356f2d37338b9802aa8e8fc58b0373296e7, 18
PRFT, Proof, 0xc5cea8292e514405967d958c2325106f2f48da77, 18
H2O, Hydrominer, 0xfeed1a53bd53ffe453d265fc6e70dd85f8e993b6, 18
STK, STACK, 0xae73b38d1c9a8b274127ec30160a4927c4d71824, 18
ARY, Blockarray, 0xa5f8fc0921880cb7342368bd128eb8050442b1a1, 18
CRPT, Crypterium, 0x80a7e048f37a50500351c204cb407766fa3bae7f, 18
SAL, SALPay, 0x75c5ee419331b6150879530d06f9ba054755f1da, 18
ELF, Aelf, 0xbf2179859fc6d5bee9bf9158632dc51678a4100e, 18
